timestamp,location_name,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_72h,forecast_rain_3h,forecast_rain_6h,rainfall_intensity,rainfall_acceleration,temperature,humidity,elevation,slope,aspect,terrain_ruggedness,distance_to_waterbody,historical_flood_frequency,historical_event_severity,historical_flood_susceptibility,landslide_susceptibility,blockage_indicator,distance_to_road,road_exposure_indicator,bridge_exposure_indicator,flood_event
2026-01-07 09:00:00,Rampur,1.7,3.1,4.1,6.9,10.6,24.3,1.7,0.8,2.49,-2.58,7.7,70.7,1789.7903345226837,16.531484335438016,194.5399535180613,68.67924729734435,0.3619749764998077,2,0.43,0.55,0.65,0.04,0.1989216592255793,0.14,0.19,0
2021-09-01 16:00:00,Rampur,2.7,8.1,18.3,24.9,41.1,83.0,4.8,12.8,0.89,2.05,19.0,100.0,1801.8322298974497,14.410241480329459,202.17682657655504,35.654941752018416,0.6077611642397927,2,0.49,0.55,0.65,0.07,0.15799348693199805,0.1,0.05,0
2024-09-28 09:00:00,Kedarnath,0.7,1.1,1.4,1.7,2.8,6.9,0.3,0.3,3.0,0.87,7.3,47.3,3585.007998573089,37.9030414986628,202.7556330183615,114.7600825465672,0.19399164892771742,3,0.33,0.85,0.85,0.13,0.5005217919704681,0.06,0.16,0
2020-08-12 16:00:00,Rudraprayag,0.2,0.5,0.7,1.2,1.9,3.6,0.6,0.2,1.71,-0.2,23.5,76.7,630.9526975421029,11.213737280743802,164.80329678064044,13.64855988036589,0.018540768313338146,3,0.33,0.6,0.52,0.15,0.11967747447320183,0.12,0.06,0
2019-06-07 21:00:00,Sitapur,2.5,7.2,13.2,19.0,24.8,58.9,2.0,12.0,1.14,-2.1,19.6,70.2,1632.2698905089703,14.972104197324558,216.36234120192339,47.73634865116028,0.19265357843255707,1,0.1,0.45,0.55,0.1,0.26435154246336734,0.21,0.16,0
2025-01-10 17:00:00,Phata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,20.4,76.6,1512.4630305370338,24.94948982879972,222.33082832014264,59.778007248085714,0.3027581070553822,3,0.41,0.65,0.68,0.08,0.08786904762998629,0.24,0.02,0
2023-10-16 15:00:00,Gaurikund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,12.9,57.3,2001.3018402425182,27.243340425225366,172.2162607111926,77.43355100933783,0.09023107191273083,5,0.27,0.78,0.78,0.12,0.1034876142111743,0.21,0.11,0
2025-10-11 10:00:00,Guptkashi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,12.8,40.5,1293.5866793092268,20.585213125539536,243.79503830783196,61.739635296519296,0.1950618042506002,2,0.08,0.55,0.6,0.19,0.21984339319584367,0.24,0.02,0
2021-01-31 17:00:00,Agastmuni,0.9,2.1,4.6,5.3,6.9,11.2,2.2,3.4,1.17,2.1,19.0,56.1,994.0856383011276,10.781412685716097,172.32937445636742,41.72494069683596,0.16791788463316099,2,0.48,0.5,0.45,0.19,0.023127057472703036,0.05,0.0,0
2022-08-18 15:00:00,Rudraprayag,1.6,4.0,7.1,9.3,14.2,18.0,0.1,2.0,1.35,-1.95,23.2,72.8,621.3667096670133,5.3441795762406485,178.1159559608827,30.578941750728678,0.06217809028435956,3,0.12,0.6,0.52,0.18,0.06825409440783133,0.04,0.09,0
